iter	Passed	Remaining
994	12347	62110
995	12359	62093
996	12367	62059
997	12378	62042
998	12389	62021
999	12398	61993
1000	12409	61975
1001	12416	61934
1002	12427	61912
1003	12435	61879
1004	12445	61854
1005	12455	61833
1006	12464	61801
1007	12474	61779
1008	12484	61752
1009	12494	61732
1010	12505	61712
1011	12520	61710
1012	12532	61695
1013	12542	61672
1014	12552	61650
1015	12562	61627
1016	12573	61607
1017	12587	61603
1018	12602	61601
1019	12611	61575
1020	12623	61561
1021	12635	61543
1022	12645	61521
1023	12655	61500
1024	12663	61465
1025	12677	61457
1026	12687	61436
1027	12696	61406
1028	12706	61385
1029	12716	61361
1030	12725	61332
1031	12736	61311
1032	12747	61294
1033	12758	61276
1034	12769	61256
1035	12780	61237
1036	12791	61219
1037	12802	61199
1038	12812	61174
1039	12823	61158
1040	12834	61139
1041	12844	61116
1042	12854	61092
1043	12865	61072
1044	12875	61050
1045	12887	61035
1046	12898	61019
1047	12908	60996
1048	12919	60978
1049	12930	60960
1050	12943	60949
1051	12954	60931
1052	12967	60922
1053	12981	60915
1054	12990	60890
1055	13002	60875
1056	13014	60861
1057	13028	60856
1058	13035	60819
1059	13046	60802
1060	13056	60779
1061	13069	60767
1062	13079	60747
1063	13089	60721
1064	13099	60699
1065	13108	60670
1066	13118	60650
1067	13129	60629
1068	13139	60608
1069	13158	60625
1070	13318	61294
1071	13342	61336
1072	13352	61314
1073	13365	61302
1074	13377	61285
1075	13389	61271
1076	13400	61253
1077	13415	61253
1078	13426	61234
1079	13436	61209
1080	13447	61193
1081	13458	61174
1082	13468	61147
1083	13478	61127
1084	13489	61108
1085	13500	61087
1086	13510	61064
1087	13520	61039
1088	13531	61020
1089	13542	61003
1090	13554	60987
1091	13568	60981
1092	13579	60963
1093	13591	60950
1094	13604	60940
1095	13614	60917
1096	13625	60900
1097	13637	60885
1098	13648	60867
1099	13660	60852
1100	13671	60833
1101	13682	60811
1102	13693	60794
1103	13704	60775
1104	13717	60766
1105	13727	60745
1106	13741	60737
1107	13755	60730
1108	13769	60727
1109	13789	60748
1110	13803	60741
1111	13862	60933
1112	13890	60991
1113	13925	61076
1114	13960	61163
1115	13994	61244
1116	14008	61236
1117	14019	61217
1118	14034	61219
1119	14046	61203
1120	14059	61191
1121	14071	61177
1122	14087	61180
1123	14103	61182
1124	14120	61186
1125	14137	61193
1126	14151	61190
1127	14167	61191
1128	14184	61198
1129	14199	61198
1130	14215	61197
1131	14228	61188
1132	14242	61180
1133	14255	61171
1134	14268	61159
1135	14282	61153
1136	14291	61127
1137	14307	61127
1138	14367	61318
1139	14384	61324
1140	14397	61313
1141	14407	61287
1142	14419	61271
1143	14430	61253
1144	14441	61233
1145	14451	61212
1146	14467	61210
1147	14476	61186
1148	14492	61188
1149	14502	61162
1150	14512	61137
1151	14522	61114
1152	14532	61090
1153	14543	61071
1154	14552	61045
1155	14563	61025
1156	14575	61008
1157	14586	60991
1158	14607	61014
1159	14624	61019
1160	14633	60993
1161	14645	60974
1162	14655	60952
1163	14666	60932
1164	14681	60930
1165	14692	60913
1166	14702	60888
1167	14713	60868
1168	14724	60851
1169	14733	60824
1170	14747	60816
1171	14758	60797
1172	14768	60771
1173	14778	60750
1174	14792	60742
1175	14809	60747
1176	14823	60743
1177	14834	60721
1178	14847	60713
1179	14861	60706
1180	14876	60701
1181	14892	60705
1182	14907	60701
1183	14921	60693
1184	14935	60685
1185	14949	60679
1186	14967	60689
1187	14981	60682
1188	15000	60695
1189	15022	60723
1190	15039	60724
1191	15058	60738
1192	15075	60742
1193	15098	60774
1194	15119	60793
1195	15144	60831
1196	15161	60834
1197	15178	60840
1198	15192	60834
1199	15208	60832
1200	15225	60838
1201	15242	60841
1202	15256	60835
1203	15272	60837
1204	15288	60838
1205	15306	60846
1206	15321	60842
1207	15337	60842
1208	15352	60838
1209	15409	61000
1210	15429	61018
1211	15441	61000
1212	15455	60992
1213	15468	60980
1214	15479	60963
1215	15489	60938
1216	15502	60926
1217	15515	60914
1218	15527	60899
1219	15537	60877
1220	15550	60866
1221	15563	60854
1222	15577	60843
1223	15587	60822
1224	15601	60812
1225	15613	60799
1226	15623	60773
1227	15635	60758
1228	15648	60748
1229	15677	60798
1230	15706	60848
1231	15723	60850
1232	15750	60893
1233	15792	60996
1234	15810	61001
1235	15835	61034
1236	15873	61120
1237	15892	61131
1238	15911	61140
1239	15929	61149
1240	15949	61161
1241	15968	61173
1242	15988	61188
1243	16003	61184
1244	16022	61195
1245	16041	61204
1246	16055	61195
1247	16071	61195
1248	16083	61178
1249	16094	61160
1250	16105	61138
1251	16115	61114
1252	16126	61095
1253	16136	61072
1254	16146	61047
1255	16157	61026
1256	16170	61014
1257	16179	60989
1258	16198	60997
1259	16210	60983
1260	16224	60975
1261	16237	60963
1262	16249	60944
1263	16261	60928
1264	16274	60917
1265	16287	60905
1266	16299	60888
1267	16310	60868
1268	16322	60854
1269	16338	60849
1270	16350	60833
1271	16359	60808
1272	16372	60794
1273	16385	60783
1274	16401	60781
1275	16450	60904
1276	16481	60958
1277	16496	60950
1278	16506	60927
1279	16518	60912
1280	16530	60897
1281	16547	60897
1282	16565	60902
1283	16575	60879
1284	16586	60860
1285	16597	60841
1286	16606	60813
1287	16616	60790
1288	16633	60791
1289	16652	60801
1290	16669	60801
1291	16685	60799
1292	16781	61090
1293	16814	61149
1294	16830	61147
1295	16840	61124
1296	16852	61109
1297	16864	61091
1298	16876	61073
1299	16886	61049
1300	16899	61037
1301	16914	61032
1302	16928	61023
1303	16941	61011
1304	16957	61007
1305	16970	60993
1306	16983	60980
1307	16996	60970
1308	17010	60960
1309	17026	60955
1310	17040	60947
1311	17052	60930
1312	17068	60928
1313	17084	60925
1314	17099	60921
1315	17114	60913
1316	17127	60902
1317	17141	60892
1318	17153	60874
1319	17166	60863
1320	17183	60865
1321	17196	60852
1322	17210	60841
1323	17228	60845
1324	17242	60835
1325	17254	60820
1326	17265	60798
1327	17278	60786
1328	17291	60772
1329	17301	60751
1330	17311	60726
1331	17322	60707
1332	17335	60692
1333	17345	60670
1334	17357	60652
1335	17367	60631
1336	17377	60608
1337	17389	60590
1338	17400	60570
1339	17410	60546
1340	17420	60524
1341	17429	60496
1342	17439	60473
1343	17450	60453
1344	17460	60430
1345	17475	60425
1346	17529	60554
1347	17544	60547
1348	17558	60536
1349	17568	60514
1350	17578	60490
1351	17589	60469
1352	17599	60447
1353	17612	60432
1354	17624	60417
1355	17635	60399
1356	17646	60377
1357	17655	60349
1358	17664	60325
1359	17677	60311
1360	17687	60287
1361	17698	60268
1362	17707	60242
1363	17719	60226
1364	17730	60204
1365	17739	60180
1366	17750	60159
1367	17760	60137
1368	17770	60113
1369	17780	60090
1370	17789	60063
1371	17800	60042
1372	17809	60018
1373	17818	59991
1374	17831	59979
1375	17842	59958
1376	17851	59931
1377	17862	59912
1378	17871	59888
1379	17883	59869
1380	17894	59849
1381	17902	59821
1382	17912	59799
1383	17922	59775
1384	17933	59756
1385	17946	59744
1386	17961	59738
1387	17975	59726
1388	17983	59697
1389	17994	59679
1390	18007	59666
1391	18017	59645
1392	18028	59624
1393	18038	59603
1394	18049	59581
1395	18060	59564
1396	18071	59545
1397	18080	59518
1398	18091	59498
1399	18099	59469
1400	18110	59450
1401	18121	59432
1402	18130	59406
1403	18143	59393
1404	18156	59380
1405	18166	59357
1406	18177	59339
1407	18189	59324
1408	18199	59301
1409	18211	59285
1410	18223	59267
1411	18232	59242
1412	18243	59222
1413	18255	59206
1414	18265	59184
1415	18276	59165
1416	18286	59144
1417	18296	59120
1418	18308	59105
1419	18319	59086
1420	18328	59062
1421	18339	59042
1422	18351	59025
1423	18361	59004
1424	18373	58987
1425	18383	58966
1426	18394	58946
1427	18407	58934
1428	18417	58913
1429	18426	58888
1430	18439	58874
1431	18449	58853
1432	18460	58833
1433	18472	58819
1434	18483	58798
1435	18492	58773
1436	18505	58760
1437	18515	58740
1438	18527	58723
1439	18600	58903
1440	18616	58898
1441	18626	58877
1442	18637	58858
1443	18649	58841
1444	18659	58819
1445	18670	58801
1446	18682	58783
1447	18691	58760
1448	18702	58740
1449	18713	58721
1450	18723	58698
1451	18733	58678
1452	18743	58654
1453	18754	58637
1454	18765	58616
1455	18774	58593
1456	18785	58572
1457	18795	58552
1458	18806	58532
1459	18818	58516
1460	18830	58501
1461	18840	58481
1462	18852	58465
1463	18864	58448
1464	18873	58424
1465	18884	58404
1466	18896	58388
1467	18905	58364
1468	18916	58345
1469	18930	58336
1470	18946	58332
1471	18961	58328
1472	18979	58330
1473	18988	58305
1474	18999	58287
1475	19013	58275
1476	19027	58266
1477	19041	58258
1478	19054	58244
1479	19066	58229
1480	19077	58210
1481	19086	58187
1482	19098	58170
1483	19109	58153
1484	19120	58132
1485	19132	58117
1486	19143	58099
1487	19153	58078
1488	19164	58058
1489	19175	58041
1490	19185	58019
1491	19196	58001
1492	19209	57987
1493	19222	57976
1494	19239	57976
1495	19251	57961
1496	19263	57943
1497	19274	57925
1498	19283	57901
1499	19295	57886
1500	19307	57871
1501	19320	57859
1502	19329	57835
1503	19341	57817
1504	19352	57800
1505	19362	57777
1506	19373	57760
1507	19383	57738
1508	19394	57721
1509	19406	57705
1510	19415	57681
1511	19426	57662
1512	19437	57644
1513	19447	57622
1514	19459	57608
1515	19470	57590
1516	19480	57569
1517	19493	57555
1518	19506	57544
1519	19517	57525
1520	19527	57504
1521	19539	57489
1522	19549	57466
1523	19559	57446
1524	19572	57433
1525	19583	57416
1526	19640	57532
1527	19655	57526
1528	19723	57673
1529	19736	57660
1530	19746	57640
1531	19757	57622
1532	19768	57603
1533	19777	57580
1534	19789	57562
1535	19800	57543
1536	19810	57522
1537	19820	57503
1538	19831	57484
1539	19841	57461
1540	19852	57444
1541	19863	57426
1542	19873	57405
1543	19885	57388
1544	19894	57366
1545	19906	57349
1546	19917	57331
1547	19926	57309
1548	19936	57288
1549	19947	57268
1550	19956	57244
1551	19967	57225
1552	19981	57217
1553	19992	57197
1554	20002	57178
1555	20015	57163
1556	20023	57138
1557	20035	57122
1558	20045	57102
1559	20054	57078
1560	20065	57060
1561	20079	57050
1562	20093	57042
1563	20103	57019
1564	20116	57006
1565	20129	56994
1566	20138	56970
1567	20149	56953
1568	20160	56934
1569	20170	56913
1570	20180	56894
1571	20190	56873
1572	20201	56853
1573	20212	56837
1574	20229	56836
1575	20244	56827
1576	20254	56807
1577	20265	56790
1578	20277	56775
1579	20288	56755
1580	20299	56737
1581	20309	56717
1582	20319	56696
1583	20330	56677
1584	20340	56657
1585	20354	56649
1586	20369	56641
1587	20380	56625
1588	20391	56605
1589	20401	56584
1590	20413	56569
1591	20424	56551
1592	20433	56528
1593	20446	56517
1594	20457	56498
1595	20467	56478
1596	20477	56458
1597	20488	56440
1598	20499	56420
1599	20514	56413
1600	20526	56399
1601	20536	56380
1602	20545	56355
1603	20561	56353
1604	20577	56346
1605	20587	56328
1606	20598	56308
1607	20609	56290
1608	20619	56270
1609	20631	56254
1610	20644	56244
1611	20713	56383
1612	20726	56372
1613	20742	56368
1614	20755	56353
1615	20767	56339
1616	20780	56326
1617	20790	56305
1618	20802	56292
1619	20867	56418
1620	20902	56467
1621	20924	56478
1622	20954	56510
1623	20966	56494
1624	20975	56473
1625	20988	56459
1626	20999	56441
1627	21008	56418
1628	21020	56404
1629	21031	56386
1630	21041	56364
1631	21052	56346
1632	21067	56339
1633	21077	56317
1634	21091	56307
1635	21102	56291
1636	21115	56276
1637	21125	56257
1638	21137	56241
1639	21150	56228
1640	21164	56218
1641	21181	56218
1642	21199	56217
1643	21215	56212
1644	21229	56202
1645	21238	56180
1646	21249	56162
1647	21262	56148
1648	21271	56127
1649	21282	56109
1650	21292	56086
1651	21304	56071
1652	21316	56057
1653	21325	56033
1654	21336	56015
1655	21347	55998
1656	21357	55978
1657	21369	55962
1658	21379	55942
1659	21389	55922
1660	21400	55904
1661	21411	55886
1662	21422	55869
1663	21433	55851
1664	21444	55832
1665	21453	55809
1666	21468	55803
1667	21489	55811
1668	21504	55804
1669	21516	55787
