iter	MAPE	RMSE	R2	MAE
178	0.01880880475	0.2504193839	0.9305024914	0.1674389852
179	0.01879218713	0.2502041078	0.9306219288	0.1672867427
180	0.01877966902	0.2500344157	0.9307160034	0.1671849178
181	0.01876743391	0.2498803412	0.9308013644	0.1670795648
182	0.01875520712	0.2497700868	0.9308624158	0.1669635913
183	0.01872982129	0.2495072361	0.931007856	0.1667305165
184	0.01871408814	0.2493133378	0.9311150454	0.1665866401
185	0.01869270606	0.2490833962	0.9312420519	0.1663971034
186	0.01867702607	0.2489085453	0.9313385511	0.1662687123
187	0.01865147885	0.2486501026	0.9314810599	0.1660171858
188	0.01864077751	0.2485096519	0.9315584443	0.1659162293
189	0.01862482478	0.2482871868	0.9316809268	0.1657677073
190	0.01861202981	0.2481541562	0.931754117	0.1656409514
191	0.01859350621	0.2479770676	0.931851486	0.1654586659
192	0.01857805282	0.2478012178	0.931948105	0.165325411
193	0.01856074426	0.2476710692	0.9320195698	0.1651469436
194	0.01853559346	0.247401024	0.9321677323	0.1649171771
195	0.01851992761	0.2472052095	0.9322750664	0.1647800185
196	0.01851296223	0.2470524977	0.9323587152	0.1647108699
197	0.01849599175	0.2469061688	0.9324388191	0.1645538033
198	0.01849466663	0.2468572852	0.9324655686	0.1645427018
199	0.0184846921	0.2467273725	0.9325366321	0.1644594672
200	0.01847535852	0.2465783182	0.9326181201	0.1643802613
201	0.01846414159	0.2464279924	0.9327002535	0.1642863145
202	0.01846110054	0.2463667363	0.9327337075	0.1642625513
203	0.01844926476	0.2462339387	0.9328062043	0.1641484497
204	0.0184367596	0.2461058364	0.9328761008	0.164039041
205	0.01842675114	0.2459983296	0.9329347316	0.1639474277
206	0.01842429787	0.2459275818	0.9329733013	0.1639304415
207	0.01841085535	0.2458105079	0.9330371023	0.1638071269
208	0.01839377792	0.2456451711	0.933127153	0.163635361
209	0.01838195404	0.2454784213	0.933217912	0.1635319134
210	0.01836120678	0.2453391241	0.9332936817	0.1633183009
211	0.01834847812	0.2451763695	0.9333821564	0.1632102326
212	0.01833424355	0.2450457585	0.9334531152	0.1630853858
213	0.01832552877	0.2449503985	0.9335048988	0.1630066567
214	0.01830902528	0.2447442397	0.9336167809	0.1628419444
215	0.01829669356	0.2446214196	0.9336833904	0.1627232381
216	0.01828856858	0.24452389	0.9337362602	0.1626497738
217	0.0182721133	0.2443680768	0.9338206812	0.1624845668
218	0.01826383101	0.2442185027	0.9339016712	0.1624101356
219	0.01825387617	0.2440906171	0.9339708782	0.1623263506
220	0.01825268715	0.2440508615	0.9339923851	0.1623158673
221	0.01823924619	0.2439182004	0.9340641263	0.1621848506
222	0.0182311006	0.243812977	0.934121002	0.1621154136
223	0.0182199756	0.2436848359	0.934190232	0.1620075286
224	0.0182034545	0.2434911328	0.9342948137	0.1618538714
225	0.01820036417	0.2434139921	0.9343364394	0.1618300952
226	0.01819213792	0.2433074358	0.9343939162	0.1617610964
227	0.01818486603	0.2432029229	0.9344502664	0.1617061898
228	0.0181781905	0.2431036088	0.9345037911	0.1616503253
229	0.01816926282	0.2429570336	0.934582747	0.1615705116
230	0.01816414235	0.2428570932	0.9346365547	0.1615295923
231	0.01815192839	0.2427142858	0.9347134035	0.161427287
